Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength
SCHOTT F2,Optical,5.70E+10,0.22,2.34E+10,0.0000082,3599.0 kg/m³,0.78,557,N/A,N/A
SCHOTT F2G12,Optical,5.76E+10,0.222,2.36E+10,0.00000808,3601.0 kg/m³,0.82,530,N/A,N/A
SCHOTT F2HT,Optical,5.70E+10,0.22,2.34E+10,0.0000082,3599.0 kg/m³,0.78,557,N/A,N/A
SCHOTT F5,Optical,5.80E+10,0.22,2.38E+10,0.000008,3470.0 kg/m³,0.88,560,N/A,N/A
SCHOTT FK3,Optical,4.60E+10,0.243,1.85E+10,0.0000082,2270.0 kg/m³,0.9,840,N/A,N/A
SCHOTT FK5HTi,Optical,6.20E+10,0.232,2.52E+10,0.0000092,2450.0 kg/m³,0.925,808,N/A,N/A
SCHOTT K5G20,Optical,6.80E+10,0.222,2.78E+10,0.00000899,2593.0 kg/m³,1,790,N/A,N/A
SCHOTT K10,Optical,6.50E+10,0.19,2.73E+10,0.0000065,2520.0 kg/m³,1.12,770,N/A,N/A
SCHOTT K7,Optical,6.90E+10,0.214,2.84E+10,0.0000084,2530.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT KZFS12,Optical,6.60E+10,0.279,2.58E+10,0.00000518,3836.0 kg/m³,0.71,540,N/A,N/A
SCHOTT KZFSN5,Optical,6.50E+10,0.275,2.55E+10,0.0000045,3460.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT LAFN7,Optical,8.00E+10,0.28,3.13E+10,0.0000053,4380.0 kg/m³,0.77,N/A,N/A,N/A
SCHOTT LAK9G15,Optical,1.08E+11,0.288,4.19E+10,0.00000634,3525.0 kg/m³,0.88,660,N/A,N/A
SCHOTT LASF35,Optical,1.32E+11,0.303,5.07E+10,0.0000074,5410.0 kg/m³,0.92,445,N/A,N/A
SCHOTT LF5,Optical,5.90E+10,0.223,2.41E+10,0.0000091,3220.0 kg/m³,0.866,657,N/A,N/A
SCHOTT LF5G15,Optical,5.96E+10,0.228,2.43E+10,0.0000093,3221.0 kg/m³,0.86,600,N/A,N/A
SCHOTT LF5G19,Optical,5.60E+10,0.242,2.25E+10,0.0000107,3300.0 kg/m³,0.75,580,N/A,N/A
SCHOTT LF5HTi,Optical,5.90E+10,0.223,2.41E+10,0.0000091,3220.0 kg/m³,0.866,657,N/A,N/A
SCHOTT LLF1,Optical,6.00E+10,0.208,2.48E+10,0.0000081,2940.0 kg/m³,0.99,650,N/A,N/A
SCHOTT LLF1HTi,Optical,6.00E+10,0.208,2.48E+10,0.0000081,2940.0 kg/m³,0.99,650,N/A,N/A
SCHOTT N-BAF3,Optical,8.20E+10,0.226,3.34E+10,0.00000717,2792.0 kg/m³,1.04,760,N/A,N/A
SCHOTT N-BAF4,Optical,8.50E+10,0.231,3.45E+10,0.00000724,2889.0 kg/m³,1.02,740,N/A,N/A
SCHOTT N-BAF10,Optical,8.90E+10,0.271,3.50E+10,0.00000618,3745.0 kg/m³,0.78,560,N/A,N/A
SCHOTT N-BAF51,Optical,9.10E+10,0.262,3.61E+10,0.00000837,3333.0 kg/m³,0.67,840,N/A,N/A
SCHOTT N-BAF52,Optical,8.60E+10,0.237,3.48E+10,0.00000686,3045.0 kg/m³,0.96,680,N/A,N/A
SCHOTT N-BAK1,Optical,7.30E+10,0.252,2.92E+10,0.0000076,3190.0 kg/m³,0.795,687,N/A,N/A
SCHOTT N-BAK2,Optical,7.10E+10,0.233,2.88E+10,0.000008,2860.0 kg/m³,0.92,690,N/A,N/A
SCHOTT N-BAK4,Optical,7.70E+10,0.24,3.10E+10,0.00000699,3046.0 kg/m³,0.88,680,N/A,N/A
SCHOTT N-BAK4HT,Optical,7.70E+10,0.24,3.10E+10,0.00000699,3046.0 kg/m³,0.88,680,N/A,N/A
SCHOTT N-BALF4,Optical,7.70E+10,0.245,3.09E+10,0.00000652,3111.0 kg/m³,0.85,690,N/A,N/A
SCHOTT N-BALF5,Optical,8.10E+10,0.214,3.34E+10,0.00000734,2614.0 kg/m³,1.05,810,N/A,N/A
SCHOTT N-BASF2,Optical,8.40E+10,0.247,3.37E+10,0.00000712,3151.0 kg/m³,0.94,660,N/A,N/A
SCHOTT N-BASF64,Optical,1.05E+11,0.264,4.15E+10,0.0000073,3200.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-BK7,Optical,8.20E+10,0.206,3.40E+10,0.0000071,2510.0 kg/m³,1.114,858,N/A,N/A
SCHOTT N-BK7HT,Optical,8.20E+10,0.206,3.40E+10,0.0000071,2510.0 kg/m³,1.114,858,N/A,N/A
SCHOTT N-BK7HTi,Optical,8.20E+10,0.206,3.40E+10,0.0000071,2510.0 kg/m³,1.114,858,N/A,N/A
SCHOTT N-BK10,Optical,7.10E+10,0.203,2.95E+10,0.0000058,2390.0 kg/m³,1.32,810,N/A,N/A
SCHOTT N-F2,Optical,8.20E+10,0.228,3.34E+10,0.00000784,2651.0 kg/m³,1.05,810,N/A,N/A
SCHOTT N-FK5,Optical,6.20E+10,0.232,2.52E+10,0.0000092,2450.0 kg/m³,0.925,808,N/A,N/A
SCHOTT N-FK51A,Optical,7.30E+10,0.302,2.80E+10,0.0000127,3675.0 kg/m³,0.76,690,N/A,N/A
SCHOTT N-FK58,Optical,7.00E+10,0.3,2.69E+10,0.0000137,3646.0 kg/m³,0.76,710,N/A,N/A
SCHOTT N-K5,Optical,7.10E+10,0.224,2.90E+10,0.0000082,2590.0 kg/m³,0.95,783,N/A,N/A
SCHOTT N-KF9,Optical,6.60E+10,0.225,2.69E+10,0.00000961,2499.0 kg/m³,1.04,860,N/A,N/A
SCHOTT N-KZFS2,Optical,6.60E+10,0.266,2.61E+10,0.00000444,2540.0 kg/m³,0.81,830,N/A,N/A
SCHOTT N-KZFS4,Optical,7.80E+10,0.241,3.14E+10,0.0000073,3002.0 kg/m³,0.84,760,N/A,N/A
SCHOTT N-KZFS4HT,Optical,7.80E+10,0.241,3.14E+10,0.0000073,3002.0 kg/m³,0.84,760,N/A,N/A
SCHOTT N-KZFS5,Optical,8.92E+10,0.243,3.59E+10,0.00000638,3041.0 kg/m³,0.95,730,N/A,N/A
SCHOTT N-KZFS8,Optical,1.03E+11,0.248,4.12E+10,0.00000777,3204.0 kg/m³,1.05,760,N/A,N/A
SCHOTT N-KZFS11,Optical,7.90E+10,0.251,3.16E+10,0.00000656,3196.0 kg/m³,0.81,690,N/A,N/A
SCHOTT N-LAF2,Optical,9.40E+10,0.288,3.65E+10,0.00000806,4295.0 kg/m³,0.67,510,N/A,N/A
SCHOTT N-LAF3,Optical,9.50E+10,0.286,3.69E+10,0.0000076,4140.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAF7,Optical,9.60E+10,0.271,3.78E+10,0.0000073,3730.0 kg/m³,0.83,620,N/A,N/A
SCHOTT N-LAF21,Optical,1.24E+11,0.295,4.79E+10,0.00000599,4281.0 kg/m³,0.83,550,N/A,N/A
SCHOTT N-LAF33,Optical,1.11E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAF34,Optical,1.23E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAF35,Optical,1.09E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAF36,Optical,1.10E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK7,Optical,9.00E+10,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK8,Optical,1.15E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK9,Optical,1.10E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK10,Optical,1.16E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK12,Optical,8.70E+10,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK14,Optical,1.11E+11,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK21,Optical,9.10E+10,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK22,Optical,9.00E+10,0.234,3.12E+10,7.80E-06,3170.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-LAK33A,Optical,1.21E+11,0.292,4.68E+10,0.0000058,4216.0 kg/m³,0.81,550,N/A,N/A
SCHOTT N-LAK33B,Optical,1.22E+11,0.295,4.70E+10,0.00000583,4221.0 kg/m³,0.89,560,N/A,N/A
SCHOTT N-LAK34,Optical,1.17E+11,0.29,4.53E+10,0.00000581,4020.0 kg/m³,0.82,520,N/A,N/A
SCHOTT N-LASF9,Optical,1.09E+11,0.288,4.22E+10,0.00000737,4410.0 kg/m³,0.79,530,N/A,N/A
SCHOTT N-LASF9HT,Optical,1.09E+11,0.288,4.22E+10,0.00000737,4410.0 kg/m³,0.79,530,N/A,N/A
SCHOTT N-LASF31A,Optical,1.26E+11,0.301,4.82E+10,0.00000674,5510.0 kg/m³,0.79,440,N/A,N/A
SCHOTT N-LASF40,Optical,1.11E+11,0.304,4.26E+10,0.00000584,4430.0 kg/m³,0.81,550,N/A,N/A
SCHOTT N-LASF41,Optical,1.24E+11,0.294,4.79E+10,6.19E-06,4845.0 kg/m³,0.79,490,N/A,N/A
SCHOTT N-LASF43,Optical,1.14E+11,0.29,4.42E+10,0.00000549,4260.0 kg/m³,0.81,550,N/A,N/A
SCHOTT N-LASF44,Optical,1.24E+11,0.293,4.80E+10,0.00000621,4440.0 kg/m³,0.82,530,N/A,N/A
SCHOTT N-LASF45,Optical,1.16E+11,0.281,4.53E+10,0.00000736,3626.0 kg/m³,1.02,660,N/A,N/A
SCHOTT N-LASF45HT,Optical,1.16E+11,0.281,4.53E+10,0.00000736,3626.0 kg/m³,1.02,660,N/A,N/A
SCHOTT N-LASF46A,Optical,1.24E+11,0.298,4.79E+10,0.000006,4449.0 kg/m³,0.91,540,N/A,N/A
SCHOTT N-LASF46B,Optical,1.21E+11,0.303,4.66E+10,0.00000597,4510.0 kg/m³,0.88,550,N/A,N/A
SCHOTT N-PK51,Optical,7.40E+10,0.295,2.86E+10,0.0000124,3855.0 kg/m³,0.65,620,N/A,N/A
SCHOTT N-PK52A,Optical,7.10E+10,0.298,2.74E+10,0.000013,3700.0 kg/m³,0.73,670,N/A,N/A
SCHOTT N-PSK3,Optical,8.40E+10,0.226,3.43E+10,0.0000062,2910.0 kg/m³,0.99,682,N/A,N/A
SCHOTT N-PSK53,Optical,7.80E+10,0.288,3.03E+10,0.0000094,3600.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-PSK53A,Optical,7.61E+10,0.288,2.96E+10,0.00000956,3568.0 kg/m³,0.64,590,N/A,N/A
SCHOTT N-SF1,Optical,9.00E+10,0.25,3.60E+10,0.00000913,3025.0 kg/m³,1,750,N/A,N/A
SCHOTT N-SF2,Optical,8.60E+10,0.231,3.49E+10,0.00000668,2718.0 kg/m³,1.14,790,N/A,N/A
SCHOTT N-SF4,Optical,9.00E+10,0.256,3.58E+10,0.00000945,3145.0 kg/m³,0.95,760,N/A,N/A
SCHOTT N-SF5,Optical,8.70E+10,0.237,3.52E+10,0.00000794,2858.0 kg/m³,1,770,N/A,N/A
SCHOTT N-SF6,Optical,9.30E+10,0.262,3.68E+10,0.00000903,3369.0 kg/m³,0.96,690,N/A,N/A
SCHOTT N-SF6HT,Optical,9.30E+10,0.262,3.68E+10,0.00000903,3369.0 kg/m³,0.96,690,N/A,N/A
SCHOTT N-SF6HTultra,Optical,9.30E+10,0.262,3.68E+10,0.00000903,3369.0 kg/m³,0.96,690,N/A,N/A
SCHOTT N-SF8,Optical,8.80E+10,0.245,3.53E+10,0.00000856,2904.0 kg/m³,1.03,770,N/A,N/A
SCHOTT N-SF10,Optical,8.70E+10,0.252,3.47E+10,0.0000094,3050.0 kg/m³,0.96,740,N/A,N/A
SCHOTT N-SF11,Optical,9.20E+10,0.257,3.66E+10,0.00000852,3224.0 kg/m³,0.95,710,N/A,N/A
SCHOTT N-SF14,Optical,8.83E+10,0.259,3.51E+10,0.00000941,3118.0 kg/m³,1,750,N/A,N/A
SCHOTT N-SF15,Optical,9.00E+10,0.243,3.62E+10,0.00000804,2921.0 kg/m³,1.04,760,N/A,N/A
SCHOTT N-SF19,Optical,8.80E+10,0.231,3.57E+10,0.0000072,2900.0 kg/m³,1.02,750,N/A,N/A
SCHOTT N-SF56,Optical,9.10E+10,0.255,3.63E+10,0.0000087,3280.0 kg/m³,0.94,700,N/A,N/A
SCHOTT N-SF57,Optical,9.60E+10,0.26,3.81E+10,0.00000846,3533.0 kg/m³,0.99,660,N/A,N/A
SCHOTT N-SF57HT,Optical,9.60E+10,0.26,3.81E+10,0.00000846,3533.0 kg/m³,0.99,660,N/A,N/A
SCHOTT N-SF57HTultra,Optical,9.60E+10,0.26,3.81E+10,0.00000846,3533.0 kg/m³,0.99,660,N/A,N/A
SCHOTT N-SF64,Optical,8.80E+10,0.245,3.53E+10,0.00000848,2989.0 kg/m³,0.98,750,N/A,N/A
SCHOTT N-SF66,Optical,9.49E+10,0.259,3.77E+10,0.0000059,3996.0 kg/m³,0.8,540,N/A,N/A
SCHOTT N-SK2,Optical,7.80E+10,0.263,3.09E+10,0.000006,3550.0 kg/m³,0.776,595,N/A,N/A
SCHOTT N-SK2HT,Optical,7.80E+10,0.263,3.09E+10,0.000006,3550.0 kg/m³,0.776,595,N/A,N/A
SCHOTT N-SK4,Optical,8.40E+10,0.261,3.33E+10,0.00000646,3535.0 kg/m³,0.83,570,N/A,N/A
SCHOTT N-SK5,Optical,8.40E+10,0.256,3.34E+10,0.0000055,3300.0 kg/m³,0.99,560,N/A,N/A
SCHOTT N-SK10,Optical,8.10E+10,0.266,3.20E+10,0.00000683,3639.0 kg/m³,0.77,540,N/A,N/A
SCHOTT N-SK11,Optical,7.90E+10,0.239,3.19E+10,0.0000065,3080.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT N-SK14,Optical,8.60E+10,0.261,3.41E+10,0.000006,3440.0 kg/m³,0.851,636,N/A,N/A
SCHOTT N-SK15,Optical,8.40E+10,0.265,3.32E+10,0.0000067,3620.0 kg/m³,0.77,570,N/A,N/A
SCHOTT N-SK16,Optical,8.90E+10,0.264,3.52E+10,0.0000063,3580.0 kg/m³,0.818,578,N/A,N/A
SCHOTT N-SSK2,Optical,8.20E+10,0.261,3.25E+10,0.00000581,3525.0 kg/m³,0.81,580,N/A,N/A
SCHOTT N-SSK5,Optical,8.80E+10,0.278,3.44E+10,0.0000068,3710.0 kg/m³,N/A,574,N/A,N/A
SCHOTT N-SSK8,Optical,8.40E+10,0.251,3.36E+10,0.00000721,3268.0 kg/m³,0.84,640,N/A,N/A
SCHOTT N-ZK7,Optical,7.00E+10,0.214,2.88E+10,0.0000045,2490.0 kg/m³,1.042,770,N/A,N/A
SCHOTT P-BK7,Optical,8.48E+10,0.202,3.53E+10,0.00000599,2433.0 kg/m³,1.13,870,N/A,N/A
SCHOTT P-LAF37,Optical,1.15E+11,0.296,4.45E+10,0.00000626,3987.0 kg/m³,0.9,640,N/A,N/A
SCHOTT P-LAK35,Optical,1.01E+11,0.289,3.92E+10,0.00000813,3848.0 kg/m³,0.72,630,N/A,N/A
SCHOTT P-LASF47,Optical,1.20E+11,0.298,4.61E+10,0.00000604,4538.0 kg/m³,0.85,550,N/A,N/A
SCHOTT P-LASF50,Optical,1.19E+11,0.298,4.59E+10,0.0000059,4541.0 kg/m³,0.95,560,N/A,N/A
SCHOTT P-LASF51,Optical,1.19E+11,0.299,4.58E+10,0.00000601,4579.0 kg/m³,0.87,560,N/A,N/A
SCHOTT P-PK53,Optical,5.94E+10,0.271,2.34E+10,0.0000133,2827.0 kg/m³,0.64,770,N/A,N/A
SCHOTT P-SF8,Optical,8.61E+10,0.253,3.43E+10,0.00000941,2898.0 kg/m³,1.02,790,N/A,N/A
SCHOTT P-SF67,Optical,9.02E+10,0.248,3.61E+10,0.00000623,4236.0 kg/m³,0.79,530,N/A,N/A
SCHOTT P-SF68,Optical,7.90E+10,0.275,3.10E+10,0.00000843,6194.0 kg/m³,0.65,370,N/A,N/A
SCHOTT P-SF69,Optical,9.59E+10,0.251,3.83E+10,0.00000899,2934.0 kg/m³,1.12,820,N/A,N/A
SCHOTT P-SK57,Optical,9.27E+10,0.249,3.71E+10,0.00000723,3012.0 kg/m³,1.01,760,N/A,N/A
SCHOTT P-SK57Q1,Optical,9.27E+10,0.249,3.71E+10,0.00000723,3012.0 kg/m³,1.01,760,N/A,N/A
SCHOTT P-SK58A,Optical,9.69E+10,0.245,3.89E+10,0.00000682,2971.0 kg/m³,1.02,770,N/A,N/A
SCHOTT P-SK60,Optical,9.88E+10,0.253,3.94E+10,0.00000706,3075.0 kg/m³,1.13,760,N/A,N/A
SCHOTT SF1,Optical,5.60E+10,0.232,2.27E+10,0.0000081,4460.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT SF2,Optical,5.50E+10,0.227,2.24E+10,0.0000084,3860.0 kg/m³,0.735,498,N/A,N/A
SCHOTT SF4,Optical,5.60E+10,0.241,2.26E+10,0.000008,4790.0 kg/m³,0.65,410,N/A,N/A
SCHOTT SF5,Optical,5.60E+10,0.233,2.27E+10,0.0000082,4070.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT SF6,Optical,5.50E+10,0.244,2.21E+10,0.0000081,5180.0 kg/m³,0.673,389,N/A,N/A
SCHOTT SF6G05,Optical,N/A,0.244,N/A,7.80E-06,5200.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT SF6HT,Optical,5.50E+10,0.244,2.21E+10,0.0000081,5180.0 kg/m³,0.673,389,N/A,N/A
SCHOTT SF10,Optical,6.40E+10,0.232,2.60E+10,0.0000075,4280.0 kg/m³,0.741,465,N/A,N/A
SCHOTT SF11,Optical,6.60E+10,0.235,2.67E+10,0.0000061,4740.0 kg/m³,0.737,431,N/A,N/A
SCHOTT SF56A,Optical,5.70E+10,0.239,2.30E+10,0.0000079,4920.0 kg/m³,0.69,400,N/A,N/A
SCHOTT SF57,Optical,5.40E+10,0.248,2.16E+10,0.0000083,5510.0 kg/m³,0.62,360,N/A,N/A
SCHOTT SF57HT,Optical,5.40E+10,0.248,2.16E+10,0.0000083,5510.0 kg/m³,0.62,360,N/A,N/A
SCHOTT SF57HTultra,Optical,5.40E+10,0.248,2.16E+10,0.0000083,5510.0 kg/m³,0.62,360,N/A,N/A
SCHOTT SFL6,Optical,9.30E+10,0.26,3.69E+10,0.000009,3370.0 kg/m³,N/A,N/A,N/A,N/A
SCHOTT SFL57,Optical,9.70E+10,0.261,3.85E+10,0.0000087,3550.0 kg/m³,0.997,670,N/A,N/A
